Date: 2020-05-22TaskID: 6 UserID: 4 Hour:9 Min:1 Sec:1
Date: 2020-05-23TaskID: 6 UserID: 4 Hour:4 Min:1 Sec:1
Date: 2020-05-24TaskID: 6 UserID: 4 Hour:2 Min:1 Sec:1
Date: 2020-05-26TaskID: 26 UserID: 4 Hour:0 Min:0 Sec:17
Date: 2020-05-26TaskID: 6 UserID: 4 Hour:0 Min:10 Sec:1
Date: 2020-05-26TaskID: 9 UserID: 4 Hour:0 Min:0 Sec:10
Date: 2020-05-26TaskID: 33 UserID: 4 Hour:0 Min:0 Sec:2
Date: 2020-05-27TaskID: 26 UserID: 4 Hour:8 Min:6 Sec:5
Date: 2020-05-27TaskID: 34 UserID: 4 Hour:2 Min:0 Sec:1
Date: 2020-05-21TaskID: 34 UserID: 4 Hour:17 Min:5 Sec:35
Date: 2020-05-27TaskID: 9 UserID: 3 Hour:0 Min:0 Sec:5
Date: 2020-05-28TaskID: 26 UserID: 3 Hour:0 Min:0 Sec:3
Date: 2020-05-21TaskID: 9 UserID: 3 Hour:5 Min:2 Sec:1
Date: 2020-05-28TaskID: 42 UserID: 4 Hour:0 Min:0 Sec:6
Date: 2020-05-28TaskID: 6 UserID: 4 Hour:0 Min:0 Sec:4
Date: 2020-05-28TaskID: 34 UserID: 4 Hour:0 Min:0 Sec:2
Date: 2020-05-20TaskID: 9 UserID: 3 Hour:10 Min:5 Sec:2
Date: 2020-05-29TaskID: 44 UserID: 4 Hour:0 Min:1 Sec:-57
Date: 2020-05-29TaskID: 49 UserID: 4 Hour:0 Min:0 Sec:5
Date: 2020-05-29TaskID: 52 UserID: 4 Hour:0 Min:0 Sec:4
Date: 2020-05-29TaskID: 50 UserID: 4 Hour:0 Min:0 Sec:4
Date: 2020-05-29TaskID: 51 UserID: 4 Hour:0 Min:0 Sec:2
Date: 2020-05-30TaskID: 33 UserID: 4 Hour:0 Min:1 Sec:-1
